seriesId,year,period,value
CUSR0000SA0L1E,2001,M01,183.9
CUSR0000SA0L1E,2001,M02,184.4
CUSR0000SA0L1E,2001,M03,184.7
CUSR0000SA0L1E,2001,M04,185.1
CUSR0000SA0L1E,2001,M05,185.3
CUSR0000SA0L1E,2001,M06,186.0
CUSR0000SA0L1E,2001,M07,186.4
CUSR0000SA0L1E,2001,M08,186.7
CUSR0000SA0L1E,2001,M09,187.1
CUSR0000SA0L1E,2001,M10,187.4
CUSR0000SA0L1E,2001,M11,188.1
CUSR0000SA0L1E,2001,M12,188.4
CUSR0000SA0L1E,2002,M01,188.7
CUSR0000SA0L1E,2002,M02,189.1
CUSR0000SA0L1E,2002,M03,189.2
CUSR0000SA0L1E,2002,M04,189.7
CUSR0000SA0L1E,2002,M05,190.0
CUSR0000SA0L1E,2002,M06,190.2
CUSR0000SA0L1E,2002,M07,190.5
CUSR0000SA0L1E,2002,M08,191.1
CUSR0000SA0L1E,2002,M09,191.3
CUSR0000SA0L1E,2002,M10,191.5
CUSR0000SA0L1E,2002,M11,191.9
CUSR0000SA0L1E,2002,M12,192.1
CUSR0000SA0L1E,2003,M01,192.4
CUSR0000SA0L1E,2003,M02,192.5
CUSR0000SA0L1E,2003,M03,192.5
CUSR0000SA0L1E,2003,M04,192.5
CUSR0000SA0L1E,2003,M05,192.9
CUSR0000SA0L1E,2003,M06,193.0
CUSR0000SA0L1E,2003,M07,193.4
CUSR0000SA0L1E,2003,M08,193.6
CUSR0000SA0L1E,2003,M09,193.7
CUSR0000SA0L1E,2003,M10,194.0
CUSR0000SA0L1E,2003,M11,194.0
CUSR0000SA0L1E,2003,M12,194.2
CUSR0000SA0L1E,2004,M01,194.6
CUSR0000SA0L1E,2004,M02,194.9
CUSR0000SA0L1E,2004,M03,195.5
CUSR0000SA0L1E,2004,M04,195.9
CUSR0000SA0L1E,2004,M05,196.2
CUSR0000SA0L1E,2004,M06,196.6
CUSR0000SA0L1E,2004,M07,196.8
CUSR0000SA0L1E,2004,M08,196.9
CUSR0000SA0L1E,2004,M09,197.5
CUSR0000SA0L1E,2004,M10,197.9
CUSR0000SA0L1E,2004,M11,198.3
CUSR0000SA0L1E,2004,M12,198.6
CUSR0000SA0L1E,2005,M01,199.0
CUSR0000SA0L1E,2005,M02,199.4
CUSR0000SA0L1E,2005,M03,200.1
CUSR0000SA0L1E,2005,M04,200.2
CUSR0000SA0L1E,2005,M05,200.5
CUSR0000SA0L1E,2005,M06,200.6
CUSR0000SA0L1E,2005,M07,200.9
CUSR0000SA0L1E,2005,M08,201.1
CUSR0000SA0L1E,2005,M09,201.3
CUSR0000SA0L1E,2005,M10,202.0
CUSR0000SA0L1E,2005,M11,202.5
CUSR0000SA0L1E,2005,M12,202.8
CUSR0000SA0L1E,2006,M01,203.2
CUSR0000SA0L1E,2006,M02,203.6
CUSR0000SA0L1E,2006,M03,204.3
CUSR0000SA0L1E,2006,M04,204.8
CUSR0000SA0L1E,2006,M05,205.4
CUSR0000SA0L1E,2006,M06,205.9
CUSR0000SA0L1E,2006,M07,206.3
CUSR0000SA0L1E,2006,M08,206.8
CUSR0000SA0L1E,2006,M09,207.2
CUSR0000SA0L1E,2006,M10,207.6
CUSR0000SA0L1E,2006,M11,207.8
CUSR0000SA0L1E,2006,M12,208.1
CUSR0000SA0L1E,2007,M01,208.6
CUSR0000SA0L1E,2007,M02,209.135
CUSR0000SA0L1E,2007,M03,209.418
CUSR0000SA0L1E,2007,M04,209.747
CUSR0000SA0L1E,2007,M05,210.058
CUSR0000SA0L1E,2007,M06,210.392
CUSR0000SA0L1E,2007,M07,210.773
CUSR0000SA0L1E,2007,M08,211.119
CUSR0000SA0L1E,2007,M09,211.554
CUSR0000SA0L1E,2007,M10,212.077
CUSR0000SA0L1E,2007,M11,212.66
CUSR0000SA0L1E,2007,M12,213.168
CUSR0000SA0L1E,2008,M01,213.771
CUSR0000SA0L1E,2008,M02,213.939
CUSR0000SA0L1E,2008,M03,214.42
CUSR0000SA0L1E,2008,M04,214.56
CUSR0000SA0L1E,2008,M05,214.936
CUSR0000SA0L1E,2008,M06,215.424
CUSR0000SA0L1E,2008,M07,215.965
CUSR0000SA0L1E,2008,M08,216.393
CUSR0000SA0L1E,2008,M09,216.713
CUSR0000SA0L1E,2008,M10,216.788
CUSR0000SA0L1E,2008,M11,216.947
CUSR0000SA0L1E,2008,M12,216.925
CUSR0000SA0L1E,2009,M01,217.346
CUSR0000SA0L1E,2009,M02,217.792
CUSR0000SA0L1E,2009,M03,218.253
CUSR0000SA0L1E,2009,M04,218.706
CUSR0000SA0L1E,2009,M05,218.904
CUSR0000SA0L1E,2009,M06,219.112
CUSR0000SA0L1E,2009,M07,219.263
CUSR0000SA0L1E,2009,M08,219.496
CUSR0000SA0L1E,2009,M09,219.92
CUSR0000SA0L1E,2009,M10,220.501
CUSR0000SA0L1E,2009,M11,220.666
CUSR0000SA0L1E,2009,M12,220.881
CUSR0000SA0L1E,2010,M01,220.633
CUSR0000SA0L1E,2010,M02,220.731
CUSR0000SA0L1E,2010,M03,220.783
CUSR0000SA0L1E,2010,M04,220.822
CUSR0000SA0L1E,2010,M05,220.962
CUSR0000SA0L1E,2010,M06,221.194
CUSR0000SA0L1E,2010,M07,221.363
CUSR0000SA0L1E,2010,M08,221.509
CUSR0000SA0L1E,2010,M09,221.711
CUSR0000SA0L1E,2010,M10,221.83
CUSR0000SA0L1E,2010,M11,222.149
CUSR0000SA0L1E,2010,M12,222.343
CUSR0000SA0L1E,2011,M01,222.803
CUSR0000SA0L1E,2011,M02,223.213
CUSR0000SA0L1E,2011,M03,223.454
CUSR0000SA0L1E,2011,M04,223.727
CUSR0000SA0L1E,2011,M05,224.175
CUSR0000SA0L1E,2011,M06,224.697
CUSR0000SA0L1E,2011,M07,225.218
CUSR0000SA0L1E,2011,M08,225.862
CUSR0000SA0L1E,2011,M09,226.118
CUSR0000SA0L1E,2011,M10,226.506
CUSR0000SA0L1E,2011,M11,226.899
CUSR0000SA0L1E,2011,M12,227.405
CUSR0000SA0L1E,2012,M01,227.877
CUSR0000SA0L1E,2012,M02,228.034
CUSR0000SA0L1E,2012,M03,228.478
CUSR0000SA0L1E,2012,M04,228.905
CUSR0000SA0L1E,2012,M05,229.224
CUSR0000SA0L1E,2012,M06,229.623
CUSR0000SA0L1E,2012,M07,229.97
CUSR0000SA0L1E,2012,M08,230.233
CUSR0000SA0L1E,2012,M09,230.659
CUSR0000SA0L1E,2012,M10,231.024
CUSR0000SA0L1E,2012,M11,231.33
CUSR0000SA0L1E,2012,M12,231.725
CUSR0000SA0L1E,2013,M01,232.229
CUSR0000SA0L1E,2013,M02,232.569
CUSR0000SA0L1E,2013,M03,232.794
CUSR0000SA0L1E,2013,M04,232.832
CUSR0000SA0L1E,2013,M05,232.996
CUSR0000SA0L1E,2013,M06,233.35
CUSR0000SA0L1E,2013,M07,233.88
CUSR0000SA0L1E,2013,M08,234.336
CUSR0000SA0L1E,2013,M09,234.7
CUSR0000SA0L1E,2013,M10,234.921
CUSR0000SA0L1E,2013,M11,235.359
CUSR0000SA0L1E,2013,M12,235.759
CUSR0000SA0L1E,2014,M01,235.961
CUSR0000SA0L1E,2014,M02,236.185
CUSR0000SA0L1E,2014,M03,236.625
CUSR0000SA0L1E,2014,M04,237.072
CUSR0000SA0L1E,2014,M05,237.529
CUSR0000SA0L1E,2014,M06,237.837
CUSR0000SA0L1E,2014,M07,238.195
CUSR0000SA0L1E,2014,M08,238.405
CUSR0000SA0L1E,2014,M09,238.786
CUSR0000SA0L1E,2014,M10,239.191
CUSR0000SA0L1E,2014,M11,239.458
CUSR0000SA0L1E,2014,M12,239.584
CUSR0000SA0L1E,2015,M01,239.811
CUSR0000SA0L1E,2015,M02,240.172
CUSR0000SA0L1E,2015,M03,240.755
CUSR0000SA0L1E,2015,M04,241.346
CUSR0000SA0L1E,2015,M05,241.688
CUSR0000SA0L1E,2015,M06,242.064
CUSR0000SA0L1E,2015,M07,242.565
CUSR0000SA0L1E,2015,M08,242.817
CUSR0000SA0L1E,2015,M09,243.316
CUSR0000SA0L1E,2015,M10,243.768
CUSR0000SA0L1E,2015,M11,244.241
CUSR0000SA0L1E,2015,M12,244.547
CUSR0000SA0L1E,2016,M01,244.955
CUSR0000SA0L1E,2016,M02,245.51
CUSR0000SA0L1E,2016,M03,245.913
CUSR0000SA0L1E,2016,M04,246.551
CUSR0000SA0L1E,2016,M05,247.137
CUSR0000SA0L1E,2016,M06,247.54
CUSR0000SA0L1E,2016,M07,247.829
CUSR0000SA0L1E,2016,M08,248.423
CUSR0000SA0L1E,2016,M09,248.842
CUSR0000SA0L1E,2016,M10,249.142
CUSR0000SA0L1E,2016,M11,249.481
CUSR0000SA0L1E,2016,M12,249.92
CUSR0000SA0L1E,2017,M01,250.467
CUSR0000SA0L1E,2017,M02,250.998
CUSR0000SA0L1E,2017,M03,250.944
CUSR0000SA0L1E,2017,M04,251.227
CUSR0000SA0L1E,2017,M05,251.43
CUSR0000SA0L1E,2017,M06,251.746
CUSR0000SA0L1E,2017,M07,251.985
CUSR0000SA0L1E,2017,M08,252.535
CUSR0000SA0L1E,2017,M09,252.812
CUSR0000SA0L1E,2017,M10,253.526
CUSR0000SA0L1E,2017,M11,253.816
CUSR0000SA0L1E,2017,M12,254.344
CUSR0000SA0L1E,2018,M01,255.204
CUSR0000SA0L1E,2018,M02,255.711
CUSR0000SA0L1E,2018,M03,256.271
CUSR0000SA0L1E,2018,M04,256.63
CUSR0000SA0L1E,2018,M05,257.145
CUSR0000SA0L1E,2018,M06,257.399
CUSR0000SA0L1E,2018,M07,257.699
CUSR0000SA0L1E,2018,M08,257.891
CUSR0000SA0L1E,2018,M09,258.368
CUSR0000SA0L1E,2018,M10,258.917
CUSR0000SA0L1E,2018,M11,259.439
CUSR0000SA0L1E,2018,M12,260.063
CUSR0000SA0L1E,2019,M01,260.766
CUSR0000SA0L1E,2019,M02,261.186
CUSR0000SA0L1E,2019,M03,261.567
CUSR0000SA0L1E,2019,M04,261.997
CUSR0000SA0L1E,2019,M05,262.217
CUSR0000SA0L1E,2019,M06,262.739
CUSR0000SA0L1E,2019,M07,263.28
CUSR0000SA0L1E,2019,M08,263.877
CUSR0000SA0L1E,2019,M09,264.388
CUSR0000SA0L1E,2019,M10,264.97
CUSR0000SA0L1E,2019,M11,265.548
CUSR0000SA0L1E,2019,M12,266.02
CUSR0000SA0L1E,2020,M01,266.698
CUSR0000SA0L1E,2020,M02,267.402
CUSR0000SA0L1E,2020,M03,267.068
CUSR0000SA0L1E,2020,M04,265.796
CUSR0000SA0L1E,2020,M05,265.461
CUSR0000SA0L1E,2020,M06,265.839
CUSR0000SA0L1E,2020,M07,267.373
CUSR0000SA0L1E,2020,M08,268.39
