date,inflation
2010-12,1.5
2010-11,1.1
2010-10,1.2
2010-09,1.1
2010-08,1.1
2010-07,1.2
2010-06,1.1
2010-05,2.0
2010-04,2.2
2010-03,2.3
2010-02,2.1
2010-01,2.6
2009-12,2.7
2009-11,1.8
2009-10,-0.2
2009-09,-1.3
2009-08,-1.5
2009-07,-2.1
2009-06,-1.4
2009-05,-1.3
2009-04,-0.7
2009-03,-0.4
2009-02,0.2
2009-01,0.0
2008-12,0.1
2008-11,1.1
2008-10,3.7
2008-09,4.9
2008-08,5.4
2008-07,5.6
2008-06,5.0
2008-05,4.2
2008-04,3.9
2008-03,4.0
2008-02,4.0
2008-01,4.3
2007-12,4.1
2007-11,4.3
2007-10,3.5
2007-09,2.8
2007-08,2.0
2007-07,2.4
2007-06,2.7
2007-05,2.7
2007-04,2.6
2007-03,2.8
2007-02,2.4
2007-01,2.1
2006-12,2.5
2006-11,2.0
2006-10,1.3
2006-09,2.1
2006-08,3.8
2006-07,4.1
2006-06,4.3
2006-05,4.2
2006-04,3.5
2006-03,3.4
2006-02,3.6
2006-01,4.0
2005-12,3.4
2005-11,3.5
2005-10,4.3
2005-09,4.7
2005-08,3.6
2005-07,3.2
2005-06,2.5
2005-05,2.8
2005-04,3.5
2005-03,3.1
2005-02,3.0
2005-01,3.0
2004-12,3.3
2004-11,3.5
2004-10,3.2
2004-09,2.5
2004-08,2.7
2004-07,3.0
2004-06,3.3
2004-05,3.1
2004-04,2.3
2004-03,1.7
2004-02,1.7
2004-01,1.9
2003-12,1.9
2003-11,1.8
2003-10,2.0
2003-09,2.3
2003-08,2.2
2003-07,2.1
2003-06,2.1
2003-05,2.1
2003-04,2.2
2003-03,3.0
2003-02,3.0
2003-01,2.6
2002-12,2.4
2002-11,2.2
2002-10,2.0
2002-09,1.5
2002-08,1.8
2002-07,1.5
2002-06,1.1
2002-05,1.2
2002-04,1.6
2002-03,1.5
2002-02,1.1
2002-01,1.1
