date,inflation
2010-12,0.8
2010-11,0.8
2010-10,0.6
2010-09,0.8
2010-08,0.9
2010-07,0.9
2010-06,0.9
2010-05,0.9
2010-04,0.9
2010-03,1.1
2010-02,1.3
2010-01,1.6
2009-12,1.8
2009-11,1.7
2009-10,1.7
2009-09,1.5
2009-08,1.4
2009-07,1.5
2009-06,1.7
2009-05,1.8
2009-04,1.9
2009-03,1.8
2009-02,1.8
2009-01,1.7
2008-12,1.8
2008-11,2.0
2008-10,2.2
2008-09,2.5
2008-08,2.5
2008-07,2.5
2008-06,2.4
2008-05,2.3
2008-04,2.3
2008-03,2.4
2008-02,2.3
2008-01,2.5
2007-12,2.4
2007-11,2.3
2007-10,2.2
2007-09,2.1
2007-08,2.1
2007-07,2.2
2007-06,2.2
2007-05,2.2
2007-04,2.3
2007-03,2.5
2007-02,2.7
2007-01,2.7
2006-12,2.6
2006-11,2.6
2006-10,2.7
2006-09,2.9
2006-08,2.8
2006-07,2.7
2006-06,2.6
2006-05,2.4
2006-04,2.3
2006-03,2.1
2006-02,2.1
2006-01,2.1
2005-12,2.2
2005-11,2.1
2005-10,2.1
2005-09,2.0
2005-08,2.1
2005-07,2.1
2005-06,2.0
2005-05,2.2
2005-04,2.2
2005-03,2.3
2005-02,2.4
2005-01,2.3
2004-12,2.2
2004-11,2.2
2004-10,2.0
2004-09,2.0
2004-08,1.7
2004-07,1.8
2004-06,1.9
2004-05,1.7
2004-04,1.8
2004-03,1.6
2004-02,1.2
2004-01,1.1
2003-12,1.1
2003-11,1.1
2003-10,1.3
2003-09,1.2
2003-08,1.3
2003-07,1.5
2003-06,1.5
2003-05,1.6
2003-04,1.5
2003-03,1.7
2003-02,1.7
2003-01,1.9
2002-12,1.9
2002-11,2.0
2002-10,2.2
2002-09,2.2
2002-08,2.4
2002-07,2.2
2002-06,2.3
2002-05,2.5
2002-04,2.5
2002-03,2.4
2002-02,2.6
2002-01,2.6
